,id,building_type,building_subtype,price,living_area,frontages,bedrooms,bathrooms,liv_room_surf,kitchen_type,showers,toilets,basement,terrace,garden,elevator,swimming_pool,status_build,furnished,energy_class,heating,flood_zone,surroundings,zipcode,municipality,province
4269,10587420,house,house,230000.0,140.0,2.0,3.0,1.0,21.0,,,1.0,,11,0,,,,,4,Gas,,,5002,Namur,Namur
4270,10515823,apartment,apartment,,94.0,2.0,2.0,1.0,,1.0,,1.0,,0,0,1.0,,2.0,,6,Gas,Non flood zone,,8301,Knokke,West Flanders
4271,10246186,apartment,apartment,89500.0,72.0,2.0,2.0,1.0,,,,,1.0,0,0,,,0.0,,5,,,,6000,Charleroi,Hainaut
4272,10571836,house,house,149000.0,164.0,2.0,4.0,1.0,30.0,1.0,,1.0,,0,22,,,1.0,0.0,2,Gas,Non flood zone,,8460,Westkerke,West Flanders
4273,10593543,house,house,79999.0,200.0,3.0,3.0,,60.0,,,,,0,500,,,1.0,,1,,,,6540,Mont-Sainte-Geneviève,Hainaut
4274,10483403,house,house,149000.0,140.0,2.0,3.0,1.0,,1.0,,1.0,,0,200,0.0,0.0,2.0,,4,Pellet,Non flood zone,,8978,Reningelst,West Flanders
4275,10443590,apartment,apartment,,79.0,,2.0,1.0,19.0,1.0,,1.0,,7,0,,,2.0,,5,Gas,Non flood zone,"Living area (residential, urban or rural)",3740,Waltwilder,Limburg
4276,10593492,apartment,apartment,220000.0,75.0,,2.0,1.0,32.0,1.0,1.0,1.0,1.0,3,0,,,3.0,,3,Gas,,,2610,Wilrijk,Antwerp
4277,10447474,house,house,,,2.0,2.0,,,,,,,0,0,,,1.0,,2,,,,6030,Marchienne-Au-Pont,Hainaut
4278,10410482,house,house,,,2.0,2.0,1.0,,,,,,0,0,,,,,3,Gas,,,4032,Grivegnee,Liège
4279,10365243,apartment,apartment,195000.0,64.0,2.0,1.0,,21.0,1.0,1.0,1.0,1.0,40,0,,,2.0,,3,Gas,,,1030,Schaerbeek,Brussels Capital Region
4280,10408810,house,house,,,,3.0,,,,,,,0,0,,,1.0,,1,Fuel oil,,,7604,Péruwelz,Hainaut
4281,10534915,house,house,,,3.0,3.0,,,,,,,0,0,,,,,1,,,,6180,Courcelles,Hainaut
4282,10566012,apartment,apartment,265000.0,53.0,2.0,1.0,1.0,20.0,3.0,,1.0,,12,0,0.0,,3.0,0.0,6,Gas,,Urban,2000,Antwerpen,Antwerp
4283,10372296,house,house,149500.0,70.0,2.0,2.0,1.0,21.0,2.0,1.0,1.0,,8,0,0.0,0.0,3.0,0.0,4,,Non flood zone,Isolated,4460,Velroux,Liège
4284,10574377,house,house,249500.0,180.0,2.0,3.0,,,2.0,,2.0,1.0,0,0,,,0.0,0.0,4,Gas,,,8840,Westrozebeke,West Flanders
4285,10488107,house,house,,134.0,4.0,2.0,,,,1.0,,,0,0,,,,,1,,,,6870,Vesqueville,Luxembourg
4286,10523087,house,house,230000.0,156.0,,4.0,,,3.0,,1.0,1.0,0,38,,,2.0,0.0,4,Gas,Non flood zone,,8500,Kortrijk,West Flanders
4287,10593491,apartment,apartment,230000.0,75.0,,2.0,1.0,32.0,1.0,1.0,1.0,1.0,0,0,,,3.0,,6,Gas,,,2610,Wilrijk,Antwerp
4288,10237946,apartment,apartment-block,75000.0,50.0,3.0,1.0,1.0,,1.0,,1.0,1.0,0,0,,,3.0,,1,Gas,,,4900,Spa,Liège
4289,10539123,apartment,apartment,160000.0,,2.0,1.0,1.0,,1.0,,1.0,1.0,5,0,,,,,4,Gas,,,4030,Grivegnee,Liège
4290,10539036,house,house,,,2.0,2.0,,,,,,,0,0,,,,,2,,,,3270,Scherpenheuvel-Zichem,Flemish Brabant
4291,10395177,house,house,85000.0,80.0,2.0,1.0,,,1.0,1.0,1.0,1.0,0,0,,,3.0,,6,Gas,,,4900,Spa,Liège
4292,10527657,house,house,,,,4.0,,,,,,,0,0,,,,,1,,,,1030,Schaerbeek,Brussels Capital Region
4293,9717012,apartment,apartment,212100.0,88.0,3.0,2.0,1.0,27.0,,,1.0,1.0,11,0,1.0,,3.0,,7,Gas,,Urban,4100,Seraing,Liège
4294,10551075,house,house,149900.0,80.0,3.0,2.0,1.0,16.0,3.0,1.0,1.0,,25,250,0.0,0.0,2.0,0.0,1,,Non flood zone,Isolated,4100,Seraing,Liège
4295,10492034,house,house,,110.0,3.0,2.0,,,,,,,0,729,,,1.0,,2,,,Countryside,6900,Waha,Luxembourg
4296,10445319,house,house,,,2.0,9.0,,,,,,,0,690,,,,,3,Fuel oil,,,7340,Wasmes,Hainaut
4297,10487334,house,house,150000.0,81.0,2.0,2.0,1.0,22.0,2.0,1.0,1.0,,12,97,0.0,0.0,2.0,0.0,3,Gas,Non flood zone,Isolated,4460,Velroux,Liège
